[2019-08-20 14:13:38.841077][debug]:  Reworked Height Index: 79, Value: 0
[2019-08-20 14:13:38.841146][debug]:  Reworked Height Index: 80, Value: 0
[2019-08-20 14:13:38.841214][debug]:  Reworked Height Index: 81, Value: 0
[2019-08-20 14:13:38.841282][debug]:  Reworked Height Index: 82, Value: 0
[2019-08-20 14:13:38.841351][debug]:  Reworked Height Index: 83, Value: 0
[2019-08-20 14:13:38.841419][debug]:  Reworked Height Index: 84, Value: 0
[2019-08-20 14:13:38.841488][debug]:  Reworked Height Index: 85, Value: 0
[2019-08-20 14:13:38.841556][debug]:  Reworked Height Index: 86, Value: 0
[2019-08-20 14:13:38.841625][debug]:  Reworked Height Index: 87, Value: 0
[2019-08-20 14:13:38.841693][debug]:  Reworked Height Index: 88, Value: 0
[2019-08-20 14:13:38.841761][debug]:  Reworked Height Index: 89, Value: 0
[2019-08-20 14:13:38.841830][debug]:  Reworked Height Index: 90, Value: 0
[2019-08-20 14:13:38.841901][debug]:  Reworked Height Index: 91, Value: 0
[2019-08-20 14:13:38.841969][debug]:  Reworked Height Index: 92, Value: 0
[2019-08-20 14:13:38.842086][debug]:  Reworked Height Index: 93, Value: 0
[2019-08-20 14:13:38.842174][debug]:  Reworked Height Index: 94, Value: 0
[2019-08-20 14:13:38.842244][debug]:  Reworked Height Index: 95, Value: 0
[2019-08-20 14:13:38.842313][debug]:  Reworked Height Index: 96, Value: 0
[2019-08-20 14:13:38.842382][debug]:  Reworked Height Index: 97, Value: 0
[2019-08-20 14:13:38.842450][debug]:  Reworked Height Index: 98, Value: 0
[2019-08-20 14:13:38.842518][debug]:  Reworked Height Index: 99, Value: 0
[2019-08-20 14:13:38.842587][debug]:  Reworked Height Index: 100, Value: 0
[2019-08-20 14:13:38.842656][debug]:  Reworked Height Index: 101, Value: 0
[2019-08-20 14:13:38.842725][debug]:  Reworked Height Index: 102, Value: 0
[2019-08-20 14:13:38.842793][debug]:  Reworked Height Index: 103, Value: 0
[2019-08-20 14:13:38.842861][debug]:  Reworked Height Index: 104, Value: 0
[2019-08-20 14:13:38.842930][debug]:  Reworked Height Index: 105, Value: 0
[2019-08-20 14:13:38.842998][debug]:  Reworked Height Index: 106, Value: 0
[2019-08-20 14:13:38.843067][debug]:  Reworked Height Index: 107, Value: 0
[2019-08-20 14:13:38.843136][debug]:  Reworked Height Index: 108, Value: 0
[2019-08-20 14:13:38.843204][debug]:  Reworked Height Index: 109, Value: 0
[2019-08-20 14:13:38.843273][debug]:  Reworked Height Index: 110, Value: 0
[2019-08-20 14:13:38.843341][debug]:  Reworked Height Index: 111, Value: 0
[2019-08-20 14:13:38.843410][debug]:  Reworked Height Index: 112, Value: 0
[2019-08-20 14:13:38.843478][debug]:  Reworked Height Index: 113, Value: 0
[2019-08-20 14:13:38.843546][debug]:  Reworked Height Index: 114, Value: 0
[2019-08-20 14:13:38.843615][debug]:  Reworked Height Index: 115, Value: 0
[2019-08-20 14:13:38.843683][debug]:  Reworked Height Index: 116, Value: 0
[2019-08-20 14:13:38.843752][debug]:  Reworked Height Index: 117, Value: 0
[2019-08-20 14:13:38.843820][debug]:  Reworked Height Index: 118, Value: 0
[2019-08-20 14:13:38.843888][debug]:  Reworked Height Index: 119, Value: 0
[2019-08-20 14:13:38.843956][debug]:  Reworked Height Index: 120, Value: 0
[2019-08-20 14:13:38.844025][debug]:  Reworked Height Index: 121, Value: 0
[2019-08-20 14:13:38.844094][debug]:  Reworked Height Index: 122, Value: 0
